PreSynaptic Neuron,PostSynaptic Neuron,N,Inferred
Tm5a-K,Mi2-1,1,0
Tm5a-K,Tm5c_like,3,0
Tm5a-K,Dm8-J,1,0
L2-D,Lawf1-2,1,0
L2-D,Dm6-0,19,0
L2-D,Dm6-1,26,0
L2-D,Tm4-C,18,0
L2-D,Dm6-3,19,0
L2-D,TmY3-C,1,0
L2-D,Tm3p-D,1,0
L2-D,Tm20-D,23,0
L2-D,Mi4-D,4,0
L2-D,C3-D,8,0
L2-D,Tm4-D,7,0
L2-D,T1-D,155,0
L2-D,L5-D,62,0
L2-D,Tm1-D,169,0
L2-D,T3-C,1,0
L2-D,Dm9-0,1,0
L2-D,Mi1-D,2,0
L2-D,Dm6-6,2,0
L2-D,Tm25_Y1-E,1,0
L2-D,Tm4-K,16,0
L2-D,Dm6-4,2,0
L2-D,Tm2-D,164,0
L5-D,Tm20-D,4,0
L5-D,T3-home,1,0
L5-D,TmY3-C,7,0
L5-D,C2-E,5,0
L5-D,L1-D,33,0
L5-D,Tm6_14-home,5,0
L5-D,T3-C,21,0
L5-D,C3-E,1,0
L5-D,Dm1-2,14,0
L5-D,Tm3p-E,5,0
L5-D,Tm3a-home,1,0
L5-D,Dm2-K,1,0
L5-D,Mi1-E,1,0
L5-D,Tm3p-D,11,0
L5-D,Dm6-1,2,0
L5-D,Mi22-4,1,0
L5-D,Tm23_24,undefined,0
L5-D,Tm3a-C,12,0
L5-D,Dm1-3,17,0
L5-D,Tm5c_like,3,0
L5-D,C3-D,15,0
L5-D,Mi1-C,1,0
L5-D,Mi2-2,2,0
L5-D,T1-D,3,0
L5-D,L5-E,1,0
L5-D,Tm25_Y1-D,4,0
L5-D,Mi4-C,13,0
L5-D,C2-D,12,0
L5-D,Tm3a-D,4,0
L5-D,Dm2-C,4,0
L5-D,Mi1-D,51,0
L5-D,Tm6_14-K,5,0
L5-D,TmY3-home,15,0
L5-D,L2-D,6,0
L5-D,L1-home,1,0
L5-D,Tm6_14-B,4,0
L5-D,T3-K,1,0
